sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
127,0.007 572 811,"SysTick","ISR Exit","Returns to Idle",1363106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3158,3,FA 04 07 
128,0.007 902 972,"SysTick","ISR Enter","Runs for 3.172 us",1422535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3161,5,C0 98 80 80 01 
129,0.007 906 144,"SysTick","ISR Exit","Returns to Idle",1423106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3166,3,1B 91 08 
130,0.008 236 372,"SysTick","ISR Enter","Runs for 3.311 us",1482547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3169,5,04 F8 A8 80 80 
131,0.008 239 683,"SysTick","ISR Exit","Returns to Idle",1483143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3174,3,01 D5 07 
132,0.008 569 639,"SysTick","ISR Enter","Runs for 3.172 us",1542535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3177,5,5A 10 80 9D 81 
133,0.008 572 811,"SysTick","ISR Exit","Returns to Idle",1543106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3182,3,80 01 AC 
134,0.008 902 972,"SysTick","ISR Enter","Runs for 3.172 us",1602535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3185,5,A8 80 80 02 FF 
135,0.008 906 144,"SysTick","ISR Exit","Returns to Idle",1603106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3190,3,FF FF FF 
136,0.009 236 372,"SysTick","ISR Enter","Runs for 3.311 us",1662547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3193,5,0F 00 F7 12 06 
137,0.009 239 683,"SysTick","ISR Exit","Returns to Idle",1663143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3198,3,A0 DA 80 
138,0.009 582 189,"Idle","vTaskNotifyGiveFromISR","xTaskToNotify=Para_Calc pxHigherPriorityTaskWoken=537001876",1724794,0x0000001000000000,0x0000001000000000,0x0000001000000000,65,3201,15,80 01 F9 08 5A 10 80 9D 81 80 01 AC A8 80 80 
139,0.009 586 467,"Idle","Task Ready","Para_Calc, runs after 45.072 us",1725564,0x0000001000000000,0x0000001000000000,0x0000001000000000,6,3216,8,02 FF FF FF FF 0F 00 EB 
140,0.009 589 744,"Idle","ISR Exit","Returns to Scheduler",1726154,0x0000001000000000,0x0000001000000000,0x0000000400000000,18,3224,3,13 07 F8 
141,0.009 624 300,"Scheduler","vTaskNotifyGiveFromISR","xTaskToNotify=Para_Calc pxHigherPriorityTaskWoken=537001876",1732374,0x0000000400000000,0x0000000400000000,0x0000000400000000,65,3227,14,A8 80 80 01 1B E4 0C 04 D8 EA 80 80 01 98 
142,0.009 627 133,"Scheduler","ISR Exit","Returns to Scheduler",1732884,0x0000000400000000,0x0000000400000000,0x0000000400000000,3,3241,3,09 5C 10 
143,0.009 631 539,"Para_Calc","Task Run","Runs for 50.806 us",1733677,0x0000000400000000,0x0000000810000C40,0x0000000810000C40,4,3244,8,98 8D 81 80 01 80 80 80 
144,0.009 634 500,"SysTick","ISR Enter","Runs for 2.867 us",1734210,0x0000000810000C40,0x000000010000000F,0x000000010000000F,2,3252,4,80 0F FF FF 
145,0.009 637 367,"SysTick","ISR Exit","Returns to Para_Calc",1734726,0x000000010000000F,0x000000010000000F,0x0000000810000C40,3,3256,3,FF FF 0F 
146,0.009 641 044,"Para_Calc","ulTaskNotifyTake","xClearCountOnExit=1 xTicksToWait=4294967295",1735388,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,66,3259,10,01 F2 0A 02 0F AB 1C 12 C0 04 
147,0.009 648 889,"Para_Calc","Task Ready","Fault_Tas, runs after 38.883 us",1736800,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,3269,8,04 B0 B9 80 80 01 E6 05 
148,0.009 660 689,"Para_Calc","xQueueGenericSend","xQueue=0x10004698 pvItemToQueue=0x20000BD8 xTicksToWait=15 xCopyPosition=0",1738924,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,90,3277,16,40 0D 00 FF FF FF FF 0F 88 B9 80 80 02 D8 04 E5 
149,0.009 666 917,"Para_Calc","Task Ready","Print_Hel, runs after 67.756 us",1740045,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,3293,8,06 07 B0 B9 80 80 01 04 
150,0.009 673 050,"Para_Calc","xTaskGenericNotify","xTaskToNotify=HeartBeat ulValue=1 eAction=1 pulPreviousNotificationValue=0",1741149,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,62,3301,12,99 15 04 A0 DA 80 80 01 F0 07 5C 10 
151,0.009 676 561,"Para_Calc","Task Ready","HeartBeat, runs after 177.572 us",1741781,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,3313,8,80 9D 81 80 01 80 80 80 
152,0.009 682 344,"Para_Calc","Task Block","Reason=27",1742822,0x0000000810000C40,0x0000000810000C40,0x0000000400000000,7,3321,9,80 0F FF FF FF FF 0F 01 CB 
153,0.009 687 772,"Fault_Tas","Task Run","Runs for 40.439 us",1743799,0x0000000400000000,0x0000000810001478,0x0000000810001478,4,3330,8,0A 5A 10 80 8A 81 80 01 
154,0.009 698 733,"Fault_Tas","xQueueGenericSend","xQueue=0x10004E80 pvItemToQueue=0x2000142C xTicksToWait=4294967295 xCopyPosition=0",1745772,0x0000000810001478,0x0000000810001478,0x0000000810001478,90,3338,20,E1 D9 80 80 02 FF FF FF FF 0F 00 D3 09 06 90 FB 80 80 01 B5 
155,0.009 705 039,"Fault_Tas","Task Ready","Log Fault, runs after 174.778 us",1746907,0x0000000810001478,0x0000000810001478,0x0000000810001478,6,3358,8,08 5A 0D A8 91 81 80 01 
156,0.009 719 144,"Fault_Tas","xQueueGenericSend","xQueue=0x10004E80 pvItemToQueue=0x2000142C xTicksToWait=4294967295 xCopyPosition=0",1749446,0x0000000810001478,0x0000000810001478,0x0000000810001478,90,3366,20,D8 D9 80 80 02 96 01 00 8F 09 06 E8 C9 80 80 01 EA 08 5C 10 
157,0.009 728 211,"Fault_Tas","Task Block","Reason=27",1751078,0x0000000810001478,0x0000000810001478,0x0000000400000000,7,3386,9,80 9D 81 80 01 80 80 80 80 
158,0.009 734 672,"Print_Hel","Task Run","Runs for 111.544 us",1752241,0x0000000400000000,0x0000000810003558,0x0000000810003558,4,3395,8,0F FF FF FF FF 0F 01 97 
159,0.009 742 189,"Print_Hel","xQueueGenericReceive","xQueue=0x10004698 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1753594,0x0000000810003558,0x0000000810003558,0x0000000810003558,92,3403,20,0C 5A 10 80 8A 81 80 01 E1 D9 80 80 02 FF FF FF FF 0F 00 E1 
160,0.009 768 761,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",1758377,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,3423,20,09 5A 0D A8 91 81 80 01 D8 D9 80 80 02 96 01 00 81 0B 07 A0 
161,0.009 774 728,"Print_Hel","Task Ready","Print_Tas, runs after 139.389 us",1759451,0x0000000810003558,0x0000000810003558,0x0000000810003558,6,3443,8,DA 80 80 01 1B 80 10 04 
162,0.009 803 939,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",1764709,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,3451,20,D8 EA 80 80 01 94 0B 5A 10 80 8A 81 80 01 E0 E9 80 80 02 FF 
163,0.009 834 933,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",1770288,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,3471,20,FF FF FF 0F 00 DC 0E 5A 10 80 8A 81 80 01 E0 E9 80 80 02 FF 
164,0.009 846 217,"Print_Hel","Task Block","Reason=27",1772319,0x0000000810003558,0x0000000810003558,0x0000000400000000,7,3491,9,FF FF FF 0F 00 DF 2B 5A 10 
165,0.009 854 133,"HeartBeat","Task Run","Runs for 20.106 us",1773744,0x0000000400000000,0x0000000810001CB0,0x0000000810001CB0,4,3500,8,80 8A 81 80 01 E0 E9 80 
166,0.009 859 161,"HeartBeat","xTaskNotifyWait","ulBitsToClearOnEntry=0 ulBitsToClearOnExit=4294967295 pulNotificationValue=536878216 xTicksToWait=600",1774649,0x0000000810001CB0,0x0000000810001CB0,0x0000000810001CB0,64,3508,17,80 02 FF FF FF FF 0F 00 E6 2B 07 D8 EA 80 80 01 1B 
167,0.009 874 239,"HeartBeat","Task Block","Delayed",1777363,0x0000000810001CB0,0x0000000810001CB0,0x0000000400000000,7,3525,9,F3 0F 04 90 FB 80 80 01 9F 
168,0.009 879 817,"Log Fault","Task Run","Runs for 30.172 us",1778367,0x0000000400000000,0x0000000810002D20,0x0000000810002D20,4,3534,8,0B 5C 10 80 8A 81 80 01 
169,0.009 887 233,"Log Fault","xQueueGenericReceive","xQueue=0x10004E80 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1779702,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,92,3542,20,80 80 80 80 0F FF FF FF FF 0F 01 B6 0A 5C 10 80 8A 81 80 01 
170,0.009 894 028,"Log Fault","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x20002CE1 xTicksToWait=4294967295 xCopyPosition=0",1780925,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,3562,20,80 80 80 80 0F FF FF FF FF 0F 01 CD 13 5C 10 80 8A 81 80 01 
171,0.009 901 850,"Log Fault","xQueueGenericSend","xQueue=0x100048A8 pvItemToQueue=0x20002CD8 xTicksToWait=150 xCopyPosition=0",1782333,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,3582,17,80 80 80 80 0F FF FF FF FF 0F 01 B4 0D 5C 10 80 8A 
172,0.009 907 100,"SysTick","ISR Enter","Runs for 2.889 us",1783278,0x0000000810002D20,0x000000010000000F,0x000000010000000F,2,3599,4,81 80 01 80 
173,0.009 909 989,"SysTick","ISR Exit","Returns to Scheduler",1783798,0x000000010000000F,0x000000010000000F,0x0000000400000000,18,3603,3,80 80 80 
174,0.009 914 117,"Print_Tas","Task Run","Runs for 51.572 us",1784541,0x0000000400000000,0x0000000810003D90,0x0000000810003D90,4,3606,8,0F FF FF FF FF 0F 01 B7 
175,0.009 921 139,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1785805,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,3614,20,0D 5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 9D 
176,0.009 935 306,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1788355,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,3634,20,0D 07 90 FB 80 80 01 1B 91 10 04 E8 C9 80 80 01 95 0B 5C 0C 
177,0.009 945 039,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1790107,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,3654,20,A8 91 81 80 01 80 80 80 80 0F 1E 01 8A 0A 5C 0C A8 91 81 80 
178,0.009 954 983,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1791897,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,3674,20,01 80 80 80 80 0F 1E 01 8E 0B 23 01 4B BC 05 07 E8 C9 80 80 
179,0.009 965 689,"Print_Tas","Task Block","Reason=27",1793824,0x0000000810003D90,0x0000000810003D90,0x0000000400000000,7,3694,9,01 04 AC 05 11 CF 07 02 0F 
180,0.009 973 661,"Log Fault","Task Run","Runs for 41.544 us",1795259,0x0000000400000000,0x0000000810002D20,0x0000000810002D20,4,3703,8,C0 31 03 BC 04 02 0F A4 
181,0.009 981 989,"Log Fault","xQueueGenericReceive","xQueue=0x10004E80 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1796758,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,92,3711,20,D0 03 03 D8 04 02 0F 88 D0 03 03 E6 07 02 0F FA CC 03 03 D8 
182,0.009 991 256,"Log Fault","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x20002CE1 xTicksToWait=4294967295 xCopyPosition=0",1798426,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,3731,20,04 02 0F 88 D0 03 03 FB 04 02 0F E5 CF 03 03 D8 04 02 0F 80 
183,0.009 997 217,"Log Fault","Task Ready","Print_Tas, runs after 28.150 us",1799499,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,6,3751,8,D0 03 03 CC 04 02 0F 94 
184,0.010 003 717,"Log Fault","xQueueGenericSend","xQueue=0x100048A8 pvItemToQueue=0x20002CD8 xTicksToWait=150 xCopyPosition=0",1800669,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,3759,17,D0 03 03 CC 04 02 0F 9C D0 03 03 D8 04 02 0F 80 D0 
185,0.010 015 206,"Log Fault","Task Block","Reason=27",1802737,0x0000000810002D20,0x0000000810002D20,0x0000000400000000,7,3776,9,03 03 CC 04 02 0F 94 D0 03 
186,0.010 025 367,"Print_Tas","Task Run","Runs for 18.144 us",1804566,0x0000000400000000,0x0000000810003D90,0x0000000810003D90,4,3785,8,03 CC 04 02 0F 9C D0 03 
187,0.010 032 633,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",1805874,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,3793,20,03 D8 04 02 0F 88 D0 03 03 D8 04 02 0F 80 D0 03 03 CC 04 02 
188,0.010 043 511,"Print_Tas","Task Block","Reason=27",1807832,0x0000000810003D90,0x0000000810003D90,0x0000000400000000,7,3813,9,0F 9C D0 03 03 D8 04 02 0F 
189,0.010 050 567,"Idle","System Idle","",1809102,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,3822,3,80 D0 03 
190,0.010 236 372,"SysTick","ISR Enter","Runs for 3.311 us",1842547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3825,5,03 CC 04 02 0F 
191,0.010 239 683,"SysTick","ISR Exit","Returns to Idle",1843143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3830,3,94 D0 03 
192,0.010 569 706,"SysTick","ISR Enter","Runs for 3.311 us",1902547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3833,5,03 CC 04 02 0F 
193,0.010 573 017,"SysTick","ISR Exit","Returns to Idle",1903143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3838,3,9C D0 03 
194,0.010 903 039,"SysTick","ISR Enter","Runs for 3.311 us",1962547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3841,5,03 D8 04 02 0F 
195,0.010 906 350,"SysTick","ISR Exit","Returns to Idle",1963143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3846,3,80 D0 03 
196,0.011 236 372,"SysTick","ISR Enter","Runs for 5.511 us",2022547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3849,5,03 CC 04 02 0F 
197,0.011 241 883,"SysTick","ISR Exit","Returns to Idle",2023539,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3854,3,94 D0 03 
198,0.011 569 706,"SysTick","ISR Enter","Runs for 3.311 us",2082547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3857,5,03 CC 04 02 0F 
199,0.011 573 017,"SysTick","ISR Exit","Returns to Idle",2083143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3862,3,9C D0 03 
200,0.011 903 039,"SysTick","ISR Enter","Runs for 3.311 us",2142547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3865,5,03 D8 04 02 0F 
201,0.011 906 350,"SysTick","ISR Exit","Returns to Idle",2143143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3870,3,80 D0 03 
202,0.012 236 372,"SysTick","ISR Enter","Runs for 3.311 us",2202547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3873,5,03 CC 04 02 0F 
203,0.012 239 683,"SysTick","ISR Exit","Returns to Idle",2203143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3878,3,94 D0 03 
204,0.012 569 639,"SysTick","ISR Enter","Runs for 3.172 us",2262535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3881,5,03 CC 04 02 0F 
205,0.012 572 811,"SysTick","ISR Exit","Returns to Idle",2263106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3886,3,9C D0 03 
206,0.012 902 972,"SysTick","ISR Enter","Runs for 3.172 us",2322535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3889,5,03 D8 04 41 0A 
207,0.012 906 144,"SysTick","ISR Exit","Returns to Idle",2323106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3894,3,C0 98 80 
208,0.013 236 372,"SysTick","ISR Enter","Runs for 3.311 us",2382547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3897,5,80 01 94 FF 87 
209,0.013 239 683,"SysTick","ISR Exit","Returns to Idle",2383143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3902,3,80 02 CF 
210,0.013 569 639,"SysTick","ISR Enter","Runs for 3.172 us",2442535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3905,5,EA 02 06 C0 98 
211,0.013 572 811,"SysTick","ISR Exit","Returns to Idle",2443106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3910,3,80 80 01 
212,0.013 903 039,"SysTick","ISR Enter","Runs for 3.311 us",2502547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3913,5,86 06 12 CE 04 
213,0.013 906 350,"SysTick","ISR Exit","Returns to Idle",2503143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3918,3,04 C0 98 
214,0.014 236 372,"SysTick","ISR Enter","Runs for 3.311 us",2562547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3921,5,80 80 01 AB 06 
215,0.014 239 683,"SysTick","ISR Exit","Returns to Idle",2563143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3926,3,42 06 01 
216,0.014 569 639,"SysTick","ISR Enter","Runs for 3.172 us",2622535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3929,5,FF FF FF FF 0F 
217,0.014 572 811,"SysTick","ISR Exit","Returns to Idle",2623106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3934,3,E1 05 06 
218,0.014 902 972,"SysTick","ISR Enter","Runs for 3.172 us",2682535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3937,5,F8 A8 80 80 01 
219,0.014 906 144,"SysTick","ISR Exit","Returns to Idle",2683106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3942,3,86 0B 5A 
220,0.015 236 372,"SysTick","ISR Enter","Runs for 3.311 us",2742547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3945,5,0C 98 8D 81 80 
221,0.015 239 683,"SysTick","ISR Exit","Returns to Idle",2743143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3950,3,01 D8 97 
222,0.015 569 639,"SysTick","ISR Enter","Runs for 3.172 us",2802535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3953,5,80 80 02 0F 00 
223,0.015 572 811,"SysTick","ISR Exit","Returns to Idle",2803106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3958,3,D0 10 06 
224,0.015 902 972,"SysTick","ISR Enter","Runs for 3.172 us",2862535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3961,5,D8 EA 80 80 01 
225,0.015 906 144,"SysTick","ISR Exit","Returns to Idle",2863106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3966,3,E7 08 3E 
226,0.016 236 372,"SysTick","ISR Enter","Runs for 3.311 us",2922547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3969,5,08 B0 B9 80 80 
227,0.016 239 683,"SysTick","ISR Exit","Returns to Idle",2923143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3974,3,01 01 01 
228,0.016 569 639,"SysTick","ISR Enter","Runs for 3.172 us",2982535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3977,5,00 D2 08 06 B0 
229,0.016 572 811,"SysTick","ISR Exit","Returns to Idle",2983106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3982,3,B9 80 80 
230,0.016 902 972,"SysTick","ISR Enter","Runs for 3.172 us",3042535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3985,5,01 FC 04 07 C0 
231,0.016 906 144,"SysTick","ISR Exit","Returns to Idle",3043106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3990,3,98 80 80 
232,0.017 236 372,"SysTick","ISR Enter","Runs for 3.311 us",3102547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3993,5,01 1B 91 08 04 
233,0.017 239 683,"SysTick","ISR Exit","Returns to Idle",3103143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3998,3,F8 A8 80 
234,0.017 569 639,"SysTick","ISR Enter","Runs for 3.172 us",3162535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4001,5,80 01 D5 07 5A 
235,0.017 572 811,"SysTick","ISR Exit","Returns to Idle",3163106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,4006,3,10 80 9D 
236,0.017 902 972,"SysTick","ISR Enter","Runs for 3.172 us",3222535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,4009,5,81 80 01 AC A8 
237,0.017 906 144,"SysTick","ISR Exit","Returns to Idle",3223106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,4014,3,80 80 02 
238,0.018 020 767,"Idle","vTaskNotifyGiveFromISR","xTaskToNotify=Para_Calc pxHigherPriorityTaskWoken=537001876",3243738,0x0000001000000000,0x0000001000000000,0x0000001000000000,65,4017,15,FF FF FF FF 0F 00 B5 0F 06 A0 DA 80 80 01 FB 
239,0.018 025 044,"Idle","Task Ready","Para_Calc, runs after 10.217 us",3244508,0x0000001000000000,0x0000001000000000,0x0000001000000000,6,4032,8,08 02 0F 85 05 12 86 04 
240,0.018 028 322,"Idle","ISR Exit","Returns to Scheduler",3245098,0x0000001000000000,0x0000001000000000,0x0000000400000000,18,4040,3,04 D8 EA 
241,0.018 035 261,"Para_Calc","Task Run","Runs for 45.639 us",3246347,0x0000000400000000,0x0000000810000C40,0x0000000810000C40,4,4043,8,80 80 01 E7 05 5C 10 98 
242,0.018 039 622,"Para_Calc","ulTaskNotifyTake","xClearCountOnExit=1 xTicksToWait=4294967295",3247132,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,66,4051,10,8D 81 80 01 80 80 80 80 0F FF 
243,0.018 047 467,"Para_Calc","Task Ready","Fault_Tas, runs after 38.861 us",3248544,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,4061,8,FF FF FF 0F 01 BE 0A 5A 
244,0.018 059 267,"Para_Calc","xQueueGenericSend","xQueue=0x10004698 pvItemToQueue=0x20000BD8 xTicksToWait=15 xCopyPosition=0",3250668,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,90,4069,16,10 80 8A 81 80 01 E0 E9 80 80 02 FF FF FF FF 0F 
245,0.018 065 461,"Para_Calc","Task Ready","Print_Hel, runs after 67.767 us",3251783,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,4085,8,00 F1 28 06 90 FB 80 80 
246,0.018 071 606,"Para_Calc","xTaskGenericNotify","xTaskToNotify=HeartBeat ulValue=1 eAction=1 pulPreviousNotificationValue=0",3252889,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,62,4093,12,01 BF 08 5A 10 80 8A 81 80 01 E0 E9 
247,0.018 075 117,"Para_Calc","Task Ready","HeartBeat, runs after 177.983 us",3253521,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,4105,8,80 80 02 FF FF FF FF 0F 
248,0.018 080 900,"Para_Calc","Task Block","Reason=27",3254562,0x0000000810000C40,0x0000000810000C40,0x0000000400000000,7,4113,9,00 DC 25 5A 10 80 8A 81 80 
